Name,Ticker,Identifier,SEDOL,Weight,Sector,Shares Held,Local Currency
Delta Air Lines Inc.,DAL,24736170,B1W9D46,0.063267,Industrials,7065505,USD
Albemarle Corporation,ALB,1265310,2046853,0.062212,Materials,1288636,USD
Hologic Inc.,HOLX,43644010,2433530,0.061712,Health Care,2746432,USD
McCormick & Company Incorporated,MKC,57978020,2550161,0.061657,Consumer Staples,2756890,USD
Cardinal Health Inc.,CAH,14149Y10,2175672,0.061288,Health Care,2883166,USD
Monolithic Power Systems Inc.,MPWR,60983910,B01Z7J1,0.061209,Information Technology,493167,USD
M&T Bank Corporation,MTB,55261F10,2340168,0.060947,Financials,1865339,USD
PPL Corporation,PPL,69351T10,2680905,0.060657,Utilities,8061819,USD
Las Vegas Sands Corp.,LVS,51783410,B02T2J7,0.060444,Consumer Discretionary,3601525,USD
Equity Residential,EQR,29476L10,2319157,0.060274,Real Estate,3752773,USD
Dover Corporation,DOV,26000310,2278407,0.060192,Industrials,1543463,USD
First Solar Inc.,FSLR,33643310,B1HMF22,0.060079,Information Technology,1090659,USD
Laboratory Corporation of America Holdings,LH,50540R40,2586122,0.059481,Health Care,974803,USD
Clorox Company,CLX,18905410,2204026,0.059018,Consumer Staples,1361126,USD
Extra Space Storage Inc.,EXR,30225T10,B02HWR9,0.058952,Real Estate,1475711,USD
Coterra Energy Inc.,CTRA,12709710,2162340,0.058773,Energy,8714012,USD
Take-Two Interactive Software Inc.,TTWO,87405410,2122117,0.058586,Communication Services,1746929,USD
VeriSign Inc.,VRSN,9.23E+14,2142922,0.057898,Information Technology,1023076,USD
Teledyne Technologies Incorporated,TDY,87936010,2503477,0.057733,Information Technology,516421,USD
